username,trust_score_pcc
mary1985,4.1070347253010545e-06
mariajuarez,5.0829687421051e-05
jhe,8.214069386996269e-06
thomasj2,8.214069386996269e-06
mima2212,0.00016065697351676705
lookn4u,0.00048780632329316706
roccotony,6.160552056148658e-06
leonelrueda,1.4274335716350021e-05
leonardo8075,3.770088745786932e-05
lissette929,8.539566288666803e-05
taimi,0.001717960210376899
tomasmx,0.00015445223153915812
nofear,0.0002589479098551276
4758,0.0010670337926425284
fleuri1,0.00044032200240244146
markanthony1962,0.00109745432286267
seacruise2,0.00015445223153915812
pascalsweet,0.00015445223153915812
hupe,0.00015445223153915812
emir06,0.00045897915221176884
markb851,6.730440658412267e-05
lidertuxx,2.4471972278941016e-05
admacias,2.4471972278941016e-05
papi352,5.3429926994862266e-05
sdda22,2.4471972278941016e-05
pablo92,4.7152878227760824e-05
florm3,0.00010555357344469055
maria00,0.00042437740652564424
laugzz,1.6538412673847016e-05
anlg,1.6538412673847016e-05
russianlove,0.0007144283776079106
baly,0.00034651014334049053
glof,0.0011561904851181142
belami7,5.0139326016243856e-05
narci03,0.00016612375234675272
vavh,2.2547555823052073e-05
lindoflow09,8.214069386996269e-06
yanayana8585,8.214069386996269e-06
dulcecanela16,0.00034651014334049053
nicasio0063,3.770088745786932e-05
pattyjenn23,8.539566288666803e-05
umoreno,3.770088745786932e-05
myrliz,8.539566288666803e-05
tonytiger1210,0.002914307814792895
lamorenota,0.00028431694438356474
grace177,0.0003130778220780956
gabrielad,0.00018654073746660583
ethsiebetsie,0.00026054068190038004
may,0.00019721261894840357
zoomie68,9.356746509359917e-05
janes,0.0005181504147045135
sadiel,2.9679078378779332e-05
noelia,3.362715846889534e-05
jricoescobar,1.4274335716350021e-05
guepardho,0.00016542668458449352
leeroyroxarmatt,1.4274335716350021e-05
mimimaw,0.00019313825361796065
danirubioson,6.270291540480335e-05
deni25004,0.00010555357344469055
paulagabiamc,6.270291540480335e-05
dianna93,6.270291540480335e-05
oria,0.00026121096589195664
annann,8.90512043208545e-05
kathysson,0.0001350952014907717
mr_gmannen,3.5873518708779e-05
giuliana,0.00019975633940000196
patricia88,5.0829687421051e-05
koskis,8.539566288666803e-05
charlymoon,3.770088745786932e-05
greenrose,0.0035365215536442007
frank4575,0.0018108021074195017
asianguy,0.00031755849746299203
sabor,0.0006185665407418249
jantjedpx,0.0008305560926195878
impatient1,0.00024471146332092584
friendly,0.0006797075255880469
bobom,0.00024471146332092584
nenad2015,0.0003367278819310747
kikam,0.0002666982191837708
andreyna,0.00023482661509142437
nanyien50,5.165496525005725e-05
greilys,4.138646815049145e-05
nicol12,0.00021750913910973687
george73,0.0010278209769632321
traveled,0.0008274006888572339
devran,0.00032122320249149583
javier2018,0.00010021519567991623
uli10,5.8045711752703796e-05
regina435,8.214069386996269e-06
artur4cio4,8.214069386996269e-06
ernesto2019,1.1884510030873853e-05
jacquies,2.800671994956482e-05
mariaj234567,0.00018237040927543497
kamilom,2.7745634811025025e-05
williama23,0.0001274249415495207
eduard1963,2.7745634811025025e-05
bonman,0.0006362936746989365
joselrojas,2.7745634811025025e-05
