,username,normalized_trust_score
293,luzdivina,0.03466653183240315
289,Joan03,0.034313930445065276
954,MissBond,0.03430841071791411
384,guepardho,0.03397959094771689
863,Geeta,0.033965781436900634
145,Sigobuscandote,0.033957492555894
3115,Lazylemon,0.03366274050522421
1006,emaverick,0.03358531903312696
848,marcela57,0.0334954119897338
242,Lizzi,0.03346161866539031
49,Karito19,0.033204148188861006
275,razi,0.03312139492678571
1524,ReinaAjedrez,0.03301084459458562
2659,Boricuaitaliano,0.0327933440592937
1764,lupita2016,0.032765078711758294
460,Erupay,0.03271080577576934
3064,mohsd666,0.03258431581190333
8,Andreatorres,0.0324061429322343
2508,hunnoS,0.032378059099188755
1757,Marita35,0.03231851521753787
2088,msteffas,0.03224191481951853
7,geidyj,0.03221658386584441
2790,lisam2,0.032143989518681124
490,cameronm,0.03213346020575929
199,celina50,0.032088983459909355
1726,Baki1957,0.03202931735986953
3051,sweetandsassy,0.03200598114827746
184,Valve,0.03184339837332855
853,Daphne,0.03183011658058979
593,Aleramvel,0.03169590081388124
1256,timothyf2,0.031610799202545024
1257,Thomas777,0.031610799202545024
652,Sharismel,0.031411522524420706
2230,princs,0.031173668678017505
1818,anav23,0.031111469540030145
2444,dennisb2,0.031075647413967615
2433,Single41,0.03090657817800092
743,Angel7,0.030845578604111447
202,Nijjal,0.030770802264165557
1811,Nanita2017,0.030683466616918894
572,yangtse,0.03067418016483653
2149,natalialila,0.030651801263425652
1520,PATI,0.030596628581526043
78,Maurin,0.030271204148873958
797,Ery0182,0.03013074698646391
2382,cartonc,0.030036531212562122
2022,OneSpecialGirl,0.029960978360109695
178,eva2016,0.02993249986201559
2696,nathan54,0.02987260954254369
2603,anils,0.02987004497046197
2604,marcoj2,0.02987004497046197
2605,leroym2,0.02987004497046197
1420,JohannaG,0.02975486080800084
2629,Tim4you,0.02972542944268547
203,Gee2003,0.029649524591979302
2970,janna,0.029594990659834987
97,Lilyd,0.029515819859204793
3304,galte,0.029433223218645388
929,Sanda,0.029407026172981108
486,vivi53,0.029389788648647556
775,stardust64,0.02935983000645868
2229,louisb38,0.029076464534317142
155,leen,0.02898610249454641
3143,Jeff7,0.028945504911267367
2048,princessital,0.02892319782863117
2049,laly,0.02892319782863117
2364,maya2,0.02892319782863117
380,janes,0.028835653558910983
553,Lisi,0.02881543958306435
2152,paulot,0.028635100571217986
803,nellyc,0.028633589629962927
2101,alexandria,0.028605709508166814
447,LizGuerra412,0.02858039205269591
2595,clau22,0.028550876543232143
412,Nicol12,0.028440190142925002
2076,claudiah,0.0284277266730294
2484,vaneu,0.028411741929161183
584,Osvaldo1965,0.028292904279846175
280,smithfield,0.027975259845894218
1930,IvyXXVIII,0.02786413048664223
463,Laura68,0.027655537215498453
106,JimmyG,0.02754928866618509
2150,nanett,0.027254578720204623
99,Adaltij,0.027146041375754094
2774,Cuteone43,0.02713946009324391
74,gabriela1960,0.027138824608708895
391,oria,0.027120624509767363
2365,mayemejia,0.02707870712141598
2039,aldi,0.027033022849143298
1117,VeloVelo,0.026997013783521803
314,KIKIO22,0.026988878865039177
665,luisj2,0.026837846697484846
504,JohnnyP,0.02678119960522504
642,Edilta,0.026779232095461618
290,Annabella,0.026651036290306313
1857,lancelarkin,0.026615585167652157
2492,PameGar,0.02641884990198256
867,49Irishred,0.026407544348578723
824,NadjaAndrea,0.026270660147944137
2041,verolinda,0.02614866711432492
409,Andreyna,0.026103342796830655
177,paolaab,0.026045161087844097
717,SERGIO80818,0.02592562367603928
377,ethsiebetsie,0.025693162828686313
805,Carmeny,0.025626651972108463
2436,Gregorio1,0.025543808326056707
266,Kateryna99,0.025520673426715206
1642,ctaylor1,0.025520673426715206
1539,douxbaiser,0.02526183483458573
815,Eric1963,0.025166661666619006
386,Mimimaw,0.025146425126001237
1603,MariaPinto,0.025067124327524754
60,Alexa1513,0.02500275074383118
1008,yoodel,0.024941598182506467
1007,polometra,0.024941598182506467
1004,tochi,0.024941598182506467
1259,Maan,0.02474636852655194
671,Monique72,0.02472250768347594
2038,juandy,0.024708285414781508
704,khawbk,0.02464549323018538
71,Adrymtt,0.02462111829439113
705,luisa89,0.024498675973895212
81,Ave,0.0244850954098796
1192,Mel125,0.024471386504495325
2885,Deysi,0.024459198164007524
2906,carl31,0.024441296406120097
1229,aeosopatin1977,0.02443847051049271
2417,douglasm2,0.02441174328744277
142,Glo,0.024188103094319287
1607,CooCoo,0.02417437766951329
405,Friendly,0.024108897890537242
2768,Musya,0.024094959609548813
781,Jem16,0.024057149674318004
327,annac2,0.0239409864181062
2383,zucmac,0.0238963609893974
59,Jacqueline,0.023720072529646374
1684,Margaret112016,0.023695732807064707
2490,Madelin3101,0.023681746676256173
1841,Ednamx,0.023595148227644757
2932,johnh23,0.023454114645939824
1774,angel11,0.023448210855660456
2672,Michael14,0.023442836172126228
1087,jesseniau,0.023387062727186384
842,TanyaTanya63,0.023119422055765497
817,davido2,0.02307034055826528
514,nohottentott,0.023000907462659575
1369,lefty901,0.022976062068106522
1938,suzaria,0.022955483240567492
239,Becky38,0.022871432697003282
784,thomasp2,0.022804574954722184
664,fiddlesticks1,0.022781111494296787
