index,avg_pcc
52262,21168.660638776157
54836,21132.382766649796
55337,21107.89203057979
56776,21107.87911827628
56956,21107.86795346988
56957,21107.86795346988
54283,21107.860002839174
52302,21063.410342129217
51255,21063.406719005958
56084,21063.385490023247
55865,21063.382488872146
50946,21063.356897448517
54759,21063.354659659515
52289,21063.337953338527
51257,21063.32702679892
51651,21063.300241586836
52496,21047.130258722147
54962,21047.091931575083
50980,21045.35820048976
51378,21043.991873387127
51551,21043.237223383432
51623,21043.23613448476
56227,21043.232819932553
55037,21043.231597135993
51840,21043.231459455514
53191,21043.230014241384
53226,21043.22796651493
54267,21043.227246864615
55718,21043.226257313556
54898,21043.225588766032
54454,21043.224828003174
55410,21043.22145506327
55017,21043.2200182945
54640,21043.21686533236
51118,21043.21681938815
51092,21043.21408210887
55957,21043.212757023968
51762,21043.212143697194
54910,21043.208703690463
55191,21043.205362696317
56341,21043.204693850177
52914,21043.203976527144
56717,21043.203921265973
55189,21043.203521748386
51947,21043.20237679489
52326,21043.200872363857
53760,21043.199998353863
51533,21043.199671997492
55568,21043.197999153595
54884,21043.19643908363
53295,21043.195020556384
56960,21043.19113582712
56961,21043.19113582712
56402,21043.19097306381
56063,21043.19062065462
53134,21043.18340059574
55219,21043.167997120698
55699,21009.279117291102
51763,21009.25193081436
54100,20980.70414821191
51036,20980.68401837351
54033,20980.66670871659
56307,20978.10646523574
54133,20978.09840709439
53067,20978.094388396956
56829,20978.09112999301
56225,20978.08226345364
54391,20978.079093536922
52708,20978.072063437743
54775,20978.06992789323
56627,20978.066818755375
56095,20978.065854777593
54747,20978.065446243494
56407,20978.058336947626
54592,20978.05109361257
51121,20978.04290691233
54324,20978.00603941389
51153,20975.86795414425
50960,20962.796782262027
54202,20962.794560445756
52808,20959.029190489262
51493,20948.171336611595
55240,20908.69708711567
55129,20908.688903269125
54862,20908.68879716735
54720,20908.68858508477
54751,20908.68858508477
55216,20908.677816569507
55498,20908.674071115027
53079,20908.672995936966
53771,20908.67260797144
52008,20908.655042344515
55821,20905.282737186273
56295,20905.282590986484
55960,20905.269965930962
53770,20905.2575038704
54643,20905.25448764351
55130,20905.254459776777
53680,20905.254226036817
54311,20905.252217623336
56913,20905.250024421206
56914,20905.250024421206
55906,20905.24974369297
55261,20905.24818735588
56790,20905.247119617266
53111,20905.239987708974
54948,20905.239030362904
54350,20905.236685804535
55457,20905.23593743505
55706,20905.22101866064
55285,20885.69175455592
55072,20885.659230658788
54104,20885.653088856277
53731,20885.648804814442
54828,20875.46927805774
52550,20846.178826470838
54812,20846.178605384328
55453,20846.17818111862
54906,20846.146424917162
51326,20836.263093625188
51884,20836.25185292212
51150,20836.251484332057
54188,20836.24930188111
53493,20836.243668855113
52032,20836.239448556436
56706,20836.237017796862
54513,20836.23496149432
55363,20836.23410374707
54409,20836.226480913305
53007,20836.22389073042
52871,20836.21331196033
55790,20836.20467895793
53841,20836.189022739483
52116,20823.96102414837
55069,20789.158376519008
56428,20785.455054534115
52399,20785.437850886337
52350,20785.435654266807
54561,20785.4347829409
51835,20785.4347677331
